OBS,County,Current.Price,Address,Zip,Median.Home.Price,Median.Household.Income,Beds,Full.Baths,Half.Baths,Heated.Area,Year.Built,Pool,Property.Style,Pool.Type,Property.Style.Type
43,Orange,1650,1267 ALSTON BAY BLVD,32703,142900,48417,3,2,1,1717,2012,Community,Townhouse,1,0
44,Orange,1650,1359 RAVIDA WOODS DR,32703,142900,48417,3,2,0,1456,1990,Community,Single Family Residence,1,1
45,Orange,1650,1082 GALWAY BLVD,32703,142900,48417,4,2,0,1972,2007,Community,Single Family Residence,1,1
46,Orange,1670,2197 GRASMERE DR,32703,142900,48417,3,2,1,1788,1990,None,Single Family Residence,0,1
47,Seminole,1695,3414 GLOCCA MORRA DR,32703,142900,48417,3,2,0,1383,2007,None,Single Family Residence,0,1
48,Orange,1700,2194 WEKIWA OAKS DR,32703,142900,48417,3,2,0,1448,1992,None,Single Family Residence,0,1
49,Orange,1705,2331 COBBLEFIELD CIR Unit#2,32703,142900,48417,4,2,0,1758,1998,None,Single Family Residence,0,1
50,Orange,1720,2066 INGE CT,32703,142900,48417,3,2,1,1787,1990,None,Single Family Residence,0,1
51,Orange,1725,1564 WOODFIELD OAKS DR,32703,142900,48417,4,2,0,1941,1990,None,Single Family Residence,0,1
52,Orange,1750,2343 ASHINGTON PARK DR,32703,142900,48417,4,2,0,1948,1988,None,Single Family Residence,0,1
53,Orange,1765,1176 COUNTRYWIND DR,32703,142900,48417,3,2,0,1623,1988,Community,Single Family Residence,1,1
54,Orange,1785,2390 COBBLEFIELD CIR,32703,142900,48417,4,2,0,1910,1997,None,Single Family Residence,0,1
55,Seminole,1795,6013 LINNEAL BEACH DR,32703,142900,48417,3,2,0,1556,1977,None,Single Family Residence,0,1
56,Seminole,1995,3882 AIDEN PL,32703,142900,48417,3,2,0,1947,1999,Private,Single Family Residence,1,1
57,Seminole,1375,1890 WITHERALL PL,32707,136500,50361,2,2,1,1252,2006,Community,Townhouse,1,0
58,Seminole,1400,3971 BUGLERS REST PL,32707,136500,50361,2,2,0,1428,1986,Community,Single Family Residence,1,1
59,Seminole,1400,136 TRIPLET LAKE DR,32707,136500,50361,3,1,1,1334,1961,None,Single Family Residence,0,1
60,Seminole,1400,344 VANGUARD PT,32707,136500,50361,3,2,1,1538,2006,None,Townhouse,0,0
61,Seminole,1500,451 TULIP TRL,32707,136500,50361,3,2,0,1716,1970,None,Single Family Residence,0,1
62,Seminole,1512,338 VANGUARD PT,32707,136500,50361,3,3,0,1538,2006,Community,Townhouse,1,0
63,Seminole,1575,1231 QUEEN ELAINE DR,32707,136500,50361,3,2,0,1529,1981,None,Single Family Residence,0,1
64,Seminole,1600,518 DEW DROP CV,32707,136500,50361,3,2,0,1608,1973,Private,Single Family Residence,1,1
65,Seminole,1600,518 DEW DROP CV,32707,136500,50361,3,2,0,1608,1973,Private,Single Family Residence,1,1
66,Seminole,1600,974 N JERICO DR,32707,136500,50361,3,2,0,1397,1983,None,Single Family Residence,0,1
67,Seminole,1600,850 BATES CT,32707,136500,50361,3,2,1,1747,1989,None,Single Family Residence,0,1
68,Seminole,1600,468 MISTY OAKS RUN,32707,136500,50361,3,2,0,1683,2003,None,Single Family Residence,0,1
69,Seminole,1625,309 REDWING WAY,32707,136500,50361,3,2,0,1400,1979,None,Single Family Residence,0,1
70,Seminole,1695,561 MYSTIC WOOD ST,32707,136500,50361,3,2,0,1608,1982,Community,Single Family Residence,1,1
71,Seminole,1705,338 HEARTH LN,32707,136500,50361,3,2,0,1627,1986,None,Single Family Residence,0,1
72,Seminole,1715,202 SAVANNAH PARK LOOP,32707,136500,50361,3,2,0,1929,2002,None,Single Family Residence,0,1
73,Seminole,1735,4306 CLOVERLEAF PL,32707,136500,50361,3,2,0,1572,1991,None,Single Family Residence,0,1
74,Seminole,1735,291 FALLING LEAF LN,32707,136500,50361,3,2,0,1408,1987,None,Single Family Residence,0,1
75,Seminole,1750,3638 OKEECHOBEE CIR,32707,136500,50361,3,2,0,1650,1987,None,Single Family Residence,0,1
76,Seminole,1750,4294 CLOVERLEAF PL,32707,136500,50361,3,2,0,1854,1988,None,Single Family Residence,0,1
77,Seminole,1750,1811 LAUREL BROOK LOOP,32707,136500,50361,4,2,0,1959,2004,None,Single Family Residence,0,1
78,Seminole,1790,1955 KINDLING CT,32707,136500,50361,3,2,0,1636,1990,None,Single Family Residence,0,1
79,Seminole,1795,3520 SEAFORD LN,32707,136500,50361,3,2,0,1702,1980,None,Single Family Residence,0,1
80,Seminole,1800,3438 BUFFAM PL,32707,136500,50361,3,3,1,1945,1990,None,Single Family Residence,0,1
81,Seminole,1800,1811 LAUREL BROOK LOOP,32707,136500,50361,4,2,0,1959,2004,None,Single Family Residence,0,1
82,Seminole,1150,202 JAMES CT,32708,227700,65886,3,2,0,1250,1970,None,Single Family Residence,0,1
83,Seminole,1295,210 S FLAMINGO AVE,32708,227700,65886,3,2,0,1425,1973,None,Single Family Residence,0,1
84,Seminole,1300,422 GREEN SPRING CIR,32708,227700,65886,2,1,1,1340,1989,Community,Townhouse,1,0
85,Seminole,1395,70 S EDGEMON AVE,32708,227700,65886,4,2,0,1399,1960,None,Single Family Residence,0,1
86,Seminole,1395,70 S EDGEMON AVE,32708,227700,65886,4,2,0,1399,1960,None,Single Family Residence,0,1
87,Seminole,1400,596 SHADOW GLENN PL,32708,227700,65886,2,2,1,1348,1991,Community,Townhouse,1,0
88,Seminole,1400,474 CLUB DR,32708,227700,65886,3,2,0,1460,1995,Community,Townhouse,1,0
89,Seminole,1450,425 TRADITION LN,32708,227700,65886,3,2,1,1468,2005,Community,Townhouse,1,0
90,Seminole,1475,108 HERITAGE PARK ST,32708,227700,65886,3,2,1,1468,2006,Community,Townhouse,1,0
91,Seminole,1495,894 CHOKECHERRY DR,32708,227700,65886,3,2,0,1744,1985,None,Single Family Residence,0,1
92,Seminole,1495,113 LIDO RD,32708,227700,65886,4,2,0,1312,1980,None,Single Family Residence,0,1
93,Seminole,1500,1493 CREEKSIDE CIR,32708,227700,65886,3,2,0,1243,1995,Community,Single Family Residence,1,1
94,Seminole,1500,724 GALLOWAY CT,32708,227700,65886,3,2,0,1288,1977,Community,Single Family Residence,1,1
95,Seminole,1500,1444 CREEKSIDE CIR,32708,227700,65886,3,2,0,1266,1997,Community,Single Family Residence,1,1
96,Seminole,1517,439 OLD FARM LN,32708,227700,65886,3,3,0,1504,2010,Community,Townhouse,1,0
97,Seminole,1550,4122 HEDGE MAPLE PL,32708,227700,65886,3,2,1,1306,2010,Community,Townhouse,1,0
98,Seminole,1550,3817 BLACK SPRUCE LN,32708,227700,65886,3,3,1,1472,2011,Community,Townhouse,1,0
99,Seminole,1575,596 PINEBRANCH CIR,32708,227700,65886,3,2,1,1602,2005,None,Townhouse,0,0
100,Seminole,1600,234 MOCKINGBIRD LN,32708,227700,65886,3,2,0,1584,1983,None,Single Family Residence,0,1
101,Seminole,1600,834 SENECA MEADOWS RD,32708,227700,65886,3,2,0,1947,2002,Community,Single Family Residence,1,1
102,Seminole,1610,312 RIUNITE CIR,32708,227700,65886,3,2,0,1269,1994,None,Single Family Residence,0,1
103,Seminole,1650,673 CORAL WAY,32708,227700,65886,3,2,0,1450,1982,None,Single Family Residence,0,1
104,Seminole,1650,1302 MILL POND LN,32708,227700,65886,3,2,1,1435,2015,Community,Townhouse,1,0
105,Seminole,1650,234 OAK RD,32708,227700,65886,3,2,0,1278,1983,None,Single Family Residence,0,1
106,Seminole,1675,1435 LA PALOMA CIR,32708,227700,65886,3,2,0,1407,1983,None,Single Family Residence,0,1
107,Seminole,1695,103 GOLDEN CREST CT,32708,227700,65886,3,2,1,1934,1996,None,Single Family Residence,0,1
108,Seminole,1700,1372 SAN DIEGO CT,32708,227700,65886,3,2,0,1407,1982,None,Single Family Residence,0,1
109,Seminole,1700,473 GEE HAMMOCK LN,32708,227700,65886,3,2,1,1564,2016,Community,Townhouse,1,0
110,Seminole,1725,917 DEVON CREEK RD,32708,227700,65886,3,2,1,1687,2003,None,Single Family Residence,0,1
111,Seminole,1725,384 INNISBROOK LN,32708,227700,65886,3,3,1,1844,2013,Community,Townhouse,1,0
112,Seminole,1750,1218 LA MESA AVE,32708,227700,65886,4,2,0,1531,1984,Private,Single Family Residence,1,1
113,Seminole,1775,1177 LA MESA AVE,32708,227700,65886,4,2,0,1519,1984,None,Single Family Residence,0,1
114,Seminole,1800,1392 SAN DIEGO CT,32708,227700,65886,3,2,0,1407,1982,None,Single Family Residence,0,1
115,Seminole,1800,600 NORTHERN WAY Unit#809,32708,227700,65886,3,3,0,1697,2016,Community,Townhouse,1,0
116,Seminole,1800,791 GAINER WAY,32708,227700,65886,3,2,1,1672,2012,None,Single Family Residence,0,1
117,Seminole,1975,818 BIG BUCK CIR,32708,227700,65886,4,2,0,1977,1984,None,Single Family Residence,0,1
118,Seminole,2100,477 BUCKHORN DR,32708,227700,65886,3,3,1,1685,2014,Community,Single Family Residence,1,1
119,Seminole,2120,1185 NEWTON CT,32708,227700,65886,3,2,1,1918,1987,Private,Single Family Residence,1,1
120,Seminole,2200,116 PEREGRINE CT,32708,227700,65886,3,2,0,1766,1998,"Private, Community",Single Family Residence,1,1
121,Orange,1500,1949 BEACON BAY CT,32712,211700,67079,3,2,1,1827,2006,None,Townhouse,0,0
122,Orange,1500,576 LISA KAREN CIR,32712,211700,67079,3,2,0,1536,2003,None,Single Family Residence,0,1
123,Orange,1500,592 ROUZER ST,32712,211700,67079,3,2,0,1577,1995,None,Single Family Residence,0,1
124,Orange,1500,316 HIDEOUT LN,32712,211700,67079,3,2,0,1280,1998,None,Single Family Residence,0,1
125,Orange,1500,1601 BOULDER CREEK CT,32712,211700,67079,3,2,0,1608,1994,None,Single Family Residence,0,1
126,Orange,1525,533 CLIMBING IVY CT,32712,211700,67079,3,2,1,1910,2007,Community,Townhouse,1,0
127,Orange,1550,1248 HONEY RD,32712,211700,67079,3,2,0,1499,2001,None,Single Family Residence,0,1
128,Orange,1550,2122 CARPATHIAN DR,32712,211700,67079,3,2,0,1484,2002,Community,Single Family Residence,1,1
129,Orange,1575,1965 BEACON BAY CT,32712,211700,67079,3,2,1,1864,2006,None,Townhouse,0,0
130,Orange,1600,906 ASHWORTH OVERLOOK DR Unit#B,32712,211700,67079,3,2,1,1910,2006,Community,Townhouse,1,0
131,Orange,1600,725 HEMLOCK DR,32712,211700,67079,3,2,0,1571,1976,Private,Single Family Residence,1,1
132,Orange,1600,1925 SUNSET PALM DR,32712,211700,67079,3,2,1,1806,2006,None,Townhouse,0,0
133,Orange,1600,1935 BEACON BAY CT,32712,211700,67079,3,2,1,1826,2006,None,Townhouse,0,0
134,Orange,1645,2437 PALMETTO RIDGE CIR,32712,211700,67079,3,2,0,1885,2007,None,Single Family Residence,0,1
135,Orange,1650,1228 WELCH RIDGE TER,32712,211700,67079,3,2,0,1534,2003,None,Single Family Residence,0,1
136,Orange,1650,1375 GOLF COURSE DR,32712,211700,67079,3,2,1,1894,2004,None,Single Family Residence,0,1
137,Orange,1675,2137 CARPATHIAN DR,32712,211700,67079,3,2,0,1484,2002,Community,Single Family Residence,1,1
138,Orange,1680,2050 WAVY LEAF CT,32712,211700,67079,3,2,0,1760,2009,Community,Single Family Residence,1,1
139,Orange,1695,517 VICKS LANDING DR,32712,211700,67079,3,2,0,1694,2004,None,Single Family Residence,0,1
140,Orange,1695,89 KNIGHTS HOLLOW DR,32712,211700,67079,4,2,0,1877,1996,None,Single Family Residence,0,1
141,Orange,1700,1108 WELCH HILL CIR,32712,211700,67079,3,2,0,1718,2001,None,Single Family Residence,0,1
142,Orange,1700,1010 STONECHAPEL CT,32712,211700,67079,3,2,0,1830,1994,None,Single Family Residence,0,1
143,Orange,1705,108 KNIGHTS HOLLOW DR,32712,211700,67079,4,2,0,1686,1996,None,Single Family Residence,0,1
144,Orange,1720,554 FORSYTH CREEK CT,32712,211700,67079,3,2,0,1777,2004,Community,Single Family Residence,1,1
145,Orange,1720,762 WELCH HILL CIR,32712,211700,67079,4,2,0,1868,2003,None,Single Family Residence,0,1
146,Orange,1725,2020 CRANBERRY ISLES WAY,32712,211700,67079,3,2,0,1593,1995,Community,Single Family Residence,1,1
147,Orange,1730,645 MAYA SUSAN LOOP,32712,211700,67079,3,2,0,1929,2004,None,Single Family Residence,0,1
148,Orange,1745,67 ABBEY HOLLOW DR,32712,211700,67079,4,2,1,1957,1992,None,Single Family Residence,0,1
149,Orange,1750,1601 STONEYWOOD WAY,32712,211700,67079,3,2,0,1946,2004,None,Single Family Residence,0,1
150,Orange,1750,1711 HIDDENWOOD CT,32712,211700,67079,4,2,0,1947,1988,None,Single Family Residence,0,1
151,Orange,1765,2094 CARPATHIAN DR Unit#3,32712,211700,67079,4,2,0,1800,2000,Community,Single Family Residence,1,1
152,Orange,1790,1436 LAKE MARION DR,32712,211700,67079,3,2,0,1772,1999,None,Single Family Residence,0,1
153,Orange,1805,2097 HAYFIELD WAY,32712,211700,67079,3,2,0,1631,2004,None,Single Family Residence,0,1
154,Orange,1810,1143 BILTSDALE CT,32712,211700,67079,4,2,0,1874,2003,None,Single Family Residence,0,1
155,Orange,1825,1235 ADIRONDACK CT,32712,211700,67079,4,2,0,1884,1995,None,Single Family Residence,0,1
156,Orange,1850,2735 BREEZY MEADOW RD,32712,211700,67079,3,2,0,1920,2009,Community,Single Family Residence,1,1
157,Orange,1860,1127 MOUNT BAKER CT Unit#2,32712,211700,67079,4,2,0,1919,2004,None,Single Family Residence,0,1
158,Orange,1874,1797 CRANBERRY ISLES WAY,32712,211700,67079,4,2,0,1838,1995,Community,Single Family Residence,1,1
159,Orange,1885,1230 GLENMORE DR,32712,211700,67079,3,2,0,1924,1989,None,Single Family Residence,0,1
160,Orange,1985,2117 CARPATHIAN DR,32712,211700,67079,4,2,0,1803,2002,"Private, Community",Single Family Residence,1,1
161,Seminole,1250,524 SUN VALLEY VLG Unit#209,32714,160500,49595,2,2,0,1390,1984,Community,Townhouse,1,0
162,Seminole,1300,710 ST MICHAEL LN,32714,160500,49595,3,2,1,1620,1974,Community,Townhouse,1,0
163,Seminole,1300,710 ST MICHAEL LN,32714,160500,49595,3,2,1,1620,1974,Community,Townhouse,1,0
164,Seminole,1350,587 NORTHBRIDGE DR Unit#587,32714,160500,49595,2,2,1,1268,1988,Community,Townhouse,1,0
165,Seminole,1375,291 STERLING SPRINGS LN,32714,160500,49595,2,2,1,1304,2004,Community,Townhouse,1,0
166,Seminole,1380,169 DAHLIA DR,32714,160500,49595,4,2,0,1302,1959,None,Single Family Residence,0,1
167,Seminole,1395,295 STERLING SPRINGS LN,32714,160500,49595,3,2,1,1520,2004,Community,Townhouse,1,0
168,Seminole,1399,443 GALLBERRY STREET,32714,160500,49595,3,2,1,1549,1990,None,Townhouse,0,0
169,Seminole,1400,817 ASH LN,32714,160500,49595,3,2,0,1329,1975,None,Single Family Residence,0,1
170,Seminole,1400,521 VIA DEL ORO DR,32714,160500,49595,3,2,0,1226,2000,Community,Single Family Residence,1,1
171,Seminole,1495,629 PEACHWOOD DR,32714,160500,49595,4,2,0,1842,1974,None,Single Family Residence,0,1
172,Seminole,1550,162 OLIVE TREE CIR,32714,160500,49595,3,3,0,1314,1983,Community,Townhouse,1,0
173,Seminole,1550,405 WEKIVA RAPIDS DR,32714,160500,49595,4,2,0,1440,1977,None,Single Family Residence,0,1
174,Seminole,1600,100 SAN JUAN CT,32714,160500,49595,3,2,0,1559,1994,None,Single Family Residence,0,1
175,Seminole,1600,755 LITTLE WEKIVA CIR,32714,160500,49595,3,2,0,1703,1973,None,Single Family Residence,0,1
176,Seminole,1895,890 W TIMBERLAND TRL,32714,160500,49595,3,2,0,1541,1985,"Private, Community",Single Family Residence,1,1
177,Seminole,1550,1909 COLLIER DR,32730,126400,41533,3,2,0,1480,1967,None,Single Family Residence,0,1
178,Seminole,1800,104 CAROLWOOD BLVD,32730,126400,41533,3,3,0,1793,1977,Community,Townhouse,1,0
179,Seminole,1450,151 VILLA DI ESTE TER Unit#205,32746,275000,79137,2,2,0,1478,2000,Community,Townhouse,1,0
180,Seminole,1495,2369 ROANOKE CT,32746,275000,79137,3,2,0,1223,1994,None,Single Family Residence,0,1
181,Seminole,1575,680 CANYON STONE CIR,32746,275000,79137,3,2,1,1386,2006,Community,Townhouse,1,0
182,Seminole,1575,308 BUTTONWOOD DR,32746,275000,79137,3,2,1,1490,1984,Private,Single Family Residence,1,1
183,Seminole,1590,503 QUEENSBRIDGE DR,32746,275000,79137,3,2,0,1408,1990,None,Single Family Residence,0,1
184,Seminole,1595,636 BIRGHAM PL,32746,275000,79137,3,2,1,1518,1991,None,Single Family Residence,0,1
185,Seminole,1595,563 HOLBROOK CIR,32746,275000,79137,3,2,0,1556,1987,None,Single Family Residence,0,1
186,Seminole,1595,3572 MOSS POINTE PL,32746,275000,79137,3,2,1,1323,1994,Community,Single Family Residence,1,1
187,Seminole,1595,634 QUEENSBRIDGE DR,32746,275000,79137,3,2,0,1624,1990,None,Single Family Residence,0,1
188,Seminole,1597,289 MORNING GLORY DR,32746,275000,79137,3,2,0,1410,1987,None,Single Family Residence,0,1
189,Seminole,1600,1728 PINE BAY DR,32746,275000,79137,3,2,0,1559,1999,None,Single Family Residence,0,1
190,Seminole,1600,2837 EGRETS LANDING DR,32746,275000,79137,4,2,0,1895,1999,Community,Single Family Residence,1,1
191,Seminole,1600,792 HEATHER GLEN CIR,32746,275000,79137,4,3,0,1650,1987,None,Single Family Residence,0,1
192,Seminole,1615,830 E CHARING CROSS CIR,32746,275000,79137,3,2,0,1518,1987,None,Single Family Residence,0,1
193,Seminole,1650,538 BIRGHAM PL,32746,275000,79137,3,2,1,1784,1989,Private,Single Family Residence,1,1
194,Seminole,1675,336 ALBA LN,32746,275000,79137,3,2,0,1744,1988,None,Single Family Residence,0,1
195,Seminole,1690,498 CANYON STONE CIR,32746,275000,79137,3,2,1,1680,2007,Community,Townhouse,1,0
196,Seminole,1695,406 E SPRINGTREE WAY,32746,275000,79137,3,2,1,1685,1986,None,Single Family Residence,0,1
197,Seminole,1700,429 MAINSAIL CT,32746,275000,79137,3,2,1,1458,1990,None,Single Family Residence,0,1
198,Seminole,1700,791 E CHARING CROSS CIR,32746,275000,79137,3,2,0,1369,1987,None,Single Family Residence,0,1
199,Seminole,1705,2809 BLUE RAVEN CT,32746,275000,79137,3,2,0,1682,2001,Community,Single Family Residence,1,1
200,Seminole,1710,3010 EGRETS LANDING DR,32746,275000,79137,4,2,0,1895,2003,"Private, Community",Single Family Residence,1,1
201,Seminole,1714,921 PADDINGTON TER,32746,275000,79137,3,2,0,1497,1994,None,Single Family Residence,0,1
202,Seminole,1725,1905 PINE BAY DR,32746,275000,79137,3,2,0,1559,1999,None,Single Family Residence,0,1
203,Seminole,1725,481 WHITTINGHAM PL,32746,275000,79137,3,2,0,1458,1988,None,Single Family Residence,0,1
204,Seminole,1750,2377 ROANOKE CT,32746,275000,79137,3,2,0,1503,1990,None,Single Family Residence,0,1
205,Seminole,1750,2206 BARKWOOD CT,32746,275000,79137,3,2,1,1677,1988,None,Single Family Residence,0,1
206,Seminole,1750,2718 GOLDEN EAGLE PT,32746,275000,79137,4,2,0,1843,1999,Community,Single Family Residence,1,1
207,Seminole,1750,570 S SUNDANCE DR,32746,275000,79137,4,2,0,1744,1989,None,Single Family Residence,0,1
208,Seminole,1765,386 AMETHYST CT,32746,275000,79137,3,2,1,1643,1989,None,Single Family Residence,0,1
209,Seminole,1790,592 HOLBROOK CIR,32746,275000,79137,3,2,0,1524,1987,None,Single Family Residence,0,1
210,Seminole,1795,311 FOXBORO CT,32746,275000,79137,3,2,1,1590,1985,None,Single Family Residence,0,1
211,Seminole,1795,840 GARDEN GLEN LOOP,32746,275000,79137,3,2,0,1413,1994,"Private, Community",Single Family Residence,1,1
212,Seminole,1795,515 RANDON TER,32746,275000,79137,3,2,0,1746,1996,Private,Single Family Residence,1,1
213,Seminole,1799,391 CIDERMILL PL,32746,275000,79137,3,2,1,1643,1989,None,Single Family Residence,0,1
214,Seminole,1800,528 HOLBROOK CIR,32746,275000,79137,4,2,0,1744,1989,Private,Single Family Residence,1,1
215,Seminole,1825,580 HOLBROOK CIR,32746,275000,79137,3,2,0,1548,1987,None,Single Family Residence,0,1
216,Seminole,1850,1200 BRAMPTON PL,32746,275000,79137,3,2,0,1833,1988,None,Single Family Residence,0,1
217,Seminole,1855,2217 GRAND TREE CT,32746,275000,79137,3,2,0,1404,1991,None,Single Family Residence,0,1
218,Seminole,1900,460 PICKFAIR TER,32746,275000,79137,3,2,0,1668,1998,None,Single Family Residence,0,1
219,Seminole,1933,709 REMINGTON OAK DR,32746,275000,79137,4,3,0,1836,1988,None,Single Family Residence,0,1
220,Seminole,1950,312 DUBLIN DR,32746,275000,79137,4,2,0,1821,1980,None,Single Family Residence,0,1
221,Seminole,2025,534 S SUNDANCE DR,32746,275000,79137,4,2,0,1744,1988,Private,Single Family Residence,1,1
222,Seminole,2050,380 CYPRESS KNEE LN,32746,275000,79137,4,2,0,1956,1998,"Private, Community",Single Family Residence,1,1
223,Seminole,2095,426 MOHAVE TER,32746,275000,79137,3,2,0,1886,1998,Private,Single Family Residence,1,1
224,Seminole,2100,650 WHITTINGHAM PL,32746,275000,79137,4,2,1,1640,1988,Private,Single Family Residence,1,1
225,Seminole,2150,912 PADDINGTON TER,32746,275000,79137,3,2,0,1609,1994,Community,Single Family Residence,1,1
226,Seminole,2225,137 WIMBLEDON CIR,32746,275000,79137,3,2,0,1719,1990,None,Single Family Residence,0,1
227,Seminole,2875,137 WIMBLEDON CIR,32746,275000,79137,3,2,0,1719,1990,None,Single Family Residence,0,1
228,Seminole,1350,1647 SMOKEY OAK WAY,32750,198800,67359,2,2,1,1284,2013,Community,Townhouse,1,0
229,Seminole,1350,1263 HUNT RD,32750,198800,67359,3,1,1,1209,1960,None,Single Family Residence,0,1
230,Seminole,1445,114 SHEPHERD TRL,32750,198800,67359,3,2,0,1436,1972,None,Single Family Residence,0,1
231,Seminole,1500,1328 LANDRY CIR,32750,198800,67359,3,2,1,1461,1983,Community,Townhouse,1,0
232,Seminole,1555,521 TIBERON COVE RD,32750,198800,67359,3,2,0,1341,1980,None,Single Family Residence,0,1
233,Seminole,1595,1093 TROWBRIDGE CT,32750,198800,67359,2,2,0,1284,1983,Community,Townhouse,1,0
234,Seminole,1595,134 FOXRIDGE RUN,32750,198800,67359,3,2,0,1717,1972,None,Single Family Residence,0,1
235,Seminole,1655,1338 N MARCY DR,32750,198800,67359,3,2,0,1596,1984,None,Single Family Residence,0,1
236,Seminole,1665,101 MOUND ST,32750,198800,67359,3,2,0,1488,1980,None,Single Family Residence,0,1
